Title,RequiredSkills,Sector,Location,Mode
GIS Analyst Intern,"ArcGIS, QGIS, Spatial Analysis",GIS,Chennai,Offline
Embedded Systems Intern,"C/C++, Microcontrollers, IoT",Electronics,Pune,Online
Food Science Intern,"Food Chemistry, Product Development, Lab Skills",Food Science,Mumbai,Online
Actuarial Intern,"Statistics, Probability, Excel",Insurance,Bangalore,Offline
Public Health Intern,"Epidemiology, Health Promotion, Research",Public Health,Hyderabad,Hybrid
Automotive Engineering Intern,"CAD, Engine Design, Vehicle Dynamics",Automotive,Delhi,Offline
Sociology Research Intern,"Qualitative Research, Data Analysis, SPSS",Social Sciences,Remote,Offline
Human-Computer Interaction Intern,"Prototyping, Usability Testing, Cognitive Science",HCI,Chennai,Offline
Mechatronics Intern,"Robotics, Electronics, Mechanical Systems",Mechatronics,Pune,Online
Cloud Solutions Architect Intern,"Cloud Platforms, Security, Scalability",Cloud Computing,Mumbai,Hybrid
Data Engineering Intern,"ETL, SQL, Python",Data Engineering,Bangalore,Hybrid
Investment Banking Intern,"Financial Modeling, Valuation, M&A",Finance,Hyderabad,Online
Market Research Intern,"Surveys, Data Analysis, SPSS",Market Research,Delhi,Offline
Animation Intern,"Adobe After Effects, Maya, Storyboarding",Animation,Noida,Hybrid
Biostatistics Intern,"R, SAS, Clinical Trial Data",Biostatistics,Chennai,Online
Renewable Energy Intern,"Solar, Wind, CAD",Energy,Pune,Hybrid
Theater Production Intern,"Stage Management, Lighting, Sound",Arts,Mumbai,Offline
Veterinary Intern,"Animal Care, Surgery Assistance, Clinic Management",Veterinary,Bangalore,Hybrid
Real Estate Intern,"Market Analysis, Property Management, Sales",Real Estate,Hyderabad,Hybrid
Sports Science Intern,"Physiology, Biomechanics, Data Analysis",Sports,Delhi,Offline
Library Science Intern,"Cataloging, Archiving, Digitalization",Library Science,Remote,Offline
Aviation Intern,"Flight Operations, Safety Protocols, Air Traffic Control",Aviation,Chennai,Online
Interior Decorating Intern,"Space Planning, Color Theory, Furniture Selection",Design,Pune,Offline
Physical Therapy Intern,"Patient Care, Exercise Prescription, Rehabilitation",Healthcare,Mumbai,Online
Psychology Research Intern,"Statistical Analysis, Research Methods, SPSS",Psychology,Bangalore,Hybrid
Urban Design Intern,"SketchUp, AutoCAD, Site Planning",Urban Planning,Hyderabad,Offline
Brand Management Intern,"Brand Strategy, Market Analysis, Advertising",Marketing,Delhi,Online
Museum Curatorial Intern,"Exhibition Planning, Collections Management, Research",Museums,Noida,Offline
Forensic Accounting Intern,"Auditing, Fraud Examination, Data Analysis",Finance,Chennai,Offline
Zoology Intern,"Animal Behavior, Research, Conservation",Zoology,Pune,Hybrid
Media Planning Intern,"Audience Analysis, Campaign Strategy, Data Analysis",Advertising,Mumbai,Offline
Civil Engineer Intern,"Bridge Design, Construction Management, AutoCAD",Construction,Bangalore,Hybrid
Environmental Science Intern,"Ecology, GIS, Fieldwork",Environmental,Hyderabad,Offline
Fashion Marketing Intern,"Social Media, Influencer Marketing, Trend Analysis",Fashion,Delhi,Offline
Translation Intern,"Language Skills, Editing, Cultural Context",Translation,Remote,Offline
Sales Intern,"Lead Generation, CRM, Communication",Sales,Chennai,Offline
Public Administration Intern,"Policy Analysis, Government Regulations, Research",Public Administration,Pune,Hybrid
Child Psychology Intern,"Child Development, Behavioral Analysis, Counseling",Psychology,Mumbai,Hybrid
